nom|codeDepartement|nomRegion|populationTotale
Le Plessis-Robinson|11|Île-de-France|29192
Puteaux|11|Île-de-France|44941
Rueil-Malmaison|11|Île-de-France|79783
Saint-Cloud|11|Île-de-France|30797
Suresnes|11|Île-de-France|49145
Vanves|11|Île-de-France|28148
Aubervilliers|11|Île-de-France|86533
Aulnay-sous-Bois|11|Île-de-France|85214
Bagnolet|11|Île-de-France|36047
Le Blanc-Mesnil|11|Île-de-France|56346
Bobigny|11|Île-de-France|52633
Bondy|11|Île-de-France|53416
Clichy-sous-Bois|11|Île-de-France|29978
La Courneuve|11|Île-de-France|42712
Drancy|11|Île-de-France|70883
Épinay-sur-Seine|11|Île-de-France|55754
Gagny|11|Île-de-France|39391
Livry-Gargan|11|Île-de-France|44721
Montfermeil|11|Île-de-France|26262
Montreuil|11|Île-de-France|109235
Neuilly-sur-Marne|11|Île-de-France|34859
Noisy-le-Grand|11|Île-de-France|67086
Noisy-le-Sec|11|Île-de-France|43693
Pantin|11|Île-de-France|55585
Pierrefitte-sur-Seine|11|Île-de-France|29728
Romainville|11|Île-de-France|26640
Rosny-sous-Bois|11|Île-de-France|45663
Saint-Denis|11|Île-de-France|112309
Saint-Ouen|11|Île-de-France|49949
Sevran|11|Île-de-France|50888
Stains|11|Île-de-France|39776
Tremblay-en-France|11|Île-de-France|35866
Villemomble|11|Île-de-France|30227
Villepinte|11|Île-de-France|36809
Alfortville|11|Île-de-France|44136
Cachan|11|Île-de-France|30524
Champigny-sur-Marne|11|Île-de-France|77883
Charenton-le-Pont|11|Île-de-France|30793
Choisy-le-Roi|11|Île-de-France|44781
Créteil|11|Île-de-France|90052
Fontenay-sous-Bois|11|Île-de-France|53968
Fresnes|11|Île-de-France|27556
L' Haÿ-les-Roses|11|Île-de-France|31416
Ivry-sur-Seine|11|Île-de-France|61099
Le Kremlin-Bicêtre|11|Île-de-France|25422
Limeil-Brévannes|11|Île-de-France|26901
Maisons-Alfort|11|Île-de-France|55816
Nogent-sur-Marne|11|Île-de-France|32195
